rep,t,k,w_0,w_1,w_2,h,R
10.0,1.0,7.0,28138.739999999998,28982.9022,29827.0644,0.0,35428.0
10.0,1.0,8.0,28138.739999999998,28982.9022,29827.0644,0.0,36668.0
10.0,1.0,9.0,28138.739999999998,28982.9022,29827.0644,0.0,37846.0
10.0,2.0,0.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,17169.0
10.0,2.0,1.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,24948.0
10.0,2.0,2.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,25403.0
10.0,2.0,3.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,27666.0
10.0,2.0,4.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,37542.0
10.0,2.0,5.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,29146.0
10.0,2.0,6.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,30358.0
10.0,2.0,7.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,35491.0
10.0,2.0,8.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,38145.0
10.0,2.0,9.0,29123.595899999997,29997.303776999997,30871.011653999998,0.0,31061.0
11.0,0.0,0.0,24990.0,25739.7,26489.4,0.0,14916.0
11.0,0.0,1.0,24990.0,25739.7,26489.4,0.0,21012.0
11.0,0.0,2.0,24990.0,25739.7,26489.4,0.0,22212.0
11.0,0.0,3.0,24990.0,25739.7,26489.4,0.0,26664.0
11.0,0.0,4.0,24990.0,25739.7,26489.4,0.0,35280.0
11.0,0.0,5.0,24990.0,25739.7,26489.4,0.0,28860.0
11.0,0.0,6.0,24990.0,25739.7,26489.4,0.0,30468.0
11.0,0.0,7.0,24990.0,25739.7,26489.4,0.0,32004.0
11.0,0.0,8.0,24990.0,25739.7,26489.4,0.0,39516.0
11.0,0.0,9.0,24990.0,25739.7,26489.4,0.0,38256.0
11.0,1.0,0.0,28138.739999999998,28982.9022,29827.0644,0.0,16164.0
11.0,1.0,1.0,28138.739999999998,28982.9022,29827.0644,0.0,22369.0
